word_1,word_0
,"year,multiyear, "
"living,enlivens","life,prelife, ,underlife, "
"enlisted man,maun,man,Manila,Manitoba,manual","man,manless, ,manlessly, ,manlessness, ,manness, ,manless, "
childe,"child,childless, ,childlessness, ,childless, ,childlessness, ,childly, "
"womanly,woman","woman,womanless, ,antiwoman, ,womanless, ,woman-like, "
"question,sick,order","call,uncalled, "
schoolmen,"school,schoolable, ,schoolless, ,schoollike, "
pain,"feel,overfeel, ,overfelt, ,overfeeling.,refeel, ,refelt, ,refeeling."
"well,as","good,quasi-good, ,goodish, "
church,"state,statable, ,stateable, ,antistate, ,counterstate, ,counterstated, ,counterstating.,outstate, ,outstated, ,outstating.,substate, ,unstatable, ,unstateable, ,statable, ,stateable, ,statehood, "
fault,"find,findable, ,refind, ,refound, ,refinding.,findable, "
,"time,retime, ,retimed, ,retiming.,untimed, "
"light,night","day,preday, ,Clarence (Shepard) "
working,"work,nonwork, ,prework, ,preworked ,prewrought, ,preworking.,prework, ,workless, ,worklessness, "
"personality,third person,first person","people,peopleless, ,peopler, ,outpeople, ,outpeopled, ,outpeopling.,underpeopled, ,well-peopled, ,multiperson, ,superperson, "
"pregnant,great,bigg","big,biggish, ,bigly, ,biggish, ,bigness, "
,"family,antifamily, ,interfamily, "
"let,alone,draft","leave,leaver, ,leaver, "
high school,"high,overhigh, ,overhighly, "
,"group,groupwise, ,supergroup, ,ungrouped, "
,"great,greatness, ,overgreat, ,overgreatly, ,overgreatness, ,quasi-great, ,quasi-greatly, ,greatly, ,greatness, "
"country music,country music","country,intercountry, "
"jump,hand,table,tide","turn,turnable, ,unturnable, ,unturned, ,turnable, "
"index,manus,firsthand,second hand,cash","hand,handlike, ,Learned ,handless, ,handlike, "
,"start,misstart, ,nonstarting, ,restart, ,unstarted, ,unstarting, "
studies,"student,studentless, ,studentlike, ,antistudent, ,nonstudent, "
,"talk,talkable, ,talkability, ,talker, ,intertalk, ,nontalker, ,overtalk, ,undertalk, ,untalking, ,talkable, ,talkability, ,talker, "
,"problem,subproblem, "
,"place,placeable, ,placeless, ,placelessly, ,preplace, ,preplaced, ,preplacing.,unplaced, "
"California job case,casebox,casehardened","case,caseless, ,caselessly, ,caser, "
"United States of America,South America,South America,United States of America,South America,American English","American,Americanly, ,Americanness, "
workweek,week
,"company,companyless, ,intercompany, "
,"system,systemless, ,intersystem, ,supersystem, ,systemless, "
,"program,reprogram, ,reprogrammed ,reprogramed, ,reprogramming ,reprograming.,unprogrammed, "
hearing,"hear,hearable, ,hearer, ,outhear, ,outheard, ,outhearing.,rehear, ,reheard, ,rehearing.,unhearable, ,hearable, ,hearer, "
beg,"question,questioner, ,counterquestion, ,outquestion, ,prequestion, ,requestion, ,subquestion, ,questioner, "
working,"work,nonwork, ,prework, ,preworked ,prewrought, ,preworking.,prework, ,workless, ,worklessness, "
"player,ball,hardball,card,politics,possum,second fiddle,field,game,deck,fire","play,playingly, ,playless, ,playlike, ,counterplay, ,nonplaying, ,self-playing, ,unplayed, ,unplaying, ,playability, ,playable, "
political science,"government,governmental ,governmentally, ,countergovernment, ,nongovernment, ,nongovernmental, ,pro-government, ,regovernment, ,semigovernmental, ,semigovernmentally, ,subgovernment, ,undergovernment, ,ungovernmental, ,ungovernmentally, ,governmentally, "
lowercase,"small,smallness, ,ultrasmall, ,smallish, ,smallness, "
,"number,numberable, ,numberer, ,denumber, ,misnumber, ,prenumber, ,renumber, ,subnumber, ,numbly, ,numbness, ,unnumbed, ,numbly, ,numbness, "
"motion,motion,movement","move,countermove, ,countermove, ,countermoved, ,countermoving.,outmove, ,outmoved, ,outmoving.,unmoved, "
nightfall,"night,nightless, ,nightlessly, ,nightlike, ,nightless, ,nightlike, "
"life,life,hog,life,lively","live,liveness, "
"fermata,stronghold,own,peace,tongue,water","hold,holdable, ,holdable, "
,today
"period,decimal fraction,point of sailing,vaccine point,point lace,condition","point,multipoint, ,underpoint, ,underpoint, "
,"bring,bringer, ,outbring, ,outbrought, ,outbringing.,bringer, "
,happen
"free,free","large,largeness, ,overlarge, ,ultralarge, ,unlarge, ,largeness, "
"dead,hot water,tread","water,waterer, ,waterless, ,waterlessly, ,waterlessness, ,waterlike, ,outwater, ,overwater, ,rewater, ,waterer, ,waterish, ,waterless, ,water-like, "
,"room,underroom, ,roomer, "
"writing,writer","write,miswrite, ,miswrote, ,miswritten, ,miswriting.,writable, "
"mother superior,motherfucker","mother,motherless, ,motherlessness, ,unmothered, ,mothering, ,mothery, "
areaway,"area,areal, ,areally, ,areal, "
"nation,nation,nationalist,nation,nation,nation","national,nationally, ,antinational, ,antinationally, ,nonnational, ,nonnationally, ,prenational, ,pronational, ,pseudonational, ,pseudonationally, ,quasi-national, ,quasi-nationally, ,subnational, ,unnational, ,unnationally, ,nationally, "
"paper money,paper money,money of account","money,moneyless, ,nonmoney, "
"news story,history,history,history","story,storyless, ,William Wetmore "
,"young,quasi-young, ,youngish, "
,"fact,factful, ,factful, "
"calendar month,Sunday",month
,"lot,lotter, ,interlot, ,interlotted, ,interlotting.,sublot, ,unlotted, "
,"study,studiable, ,studier, ,nonstudy, ,nonstudies.,outstudy, ,outstudied, ,outstudying.,prestudy, ,prestudied, ,prestudying, ,prestudies.,restudy, ,restudies, ,restudied, ,restudying."
"book of account,book value,bookmaker,bookmaker,book of account,cook","book,bookless, ,booklike, ,prebook, ,rebook, ,unbooked, "
,"word,interword, ,outword, ,well-worded, "
,"eye,eyeable, ,eyelike, ,eyer, ,undereye, ,undereyed, ,undereying ,undereyeing.,uneyeable, ,eyeless, ,eyelike, "
,"issue,issueless, ,issuer, ,outissue, ,outissued, ,outissuing.,preissue, ,preissued, ,preissuing.,self-issued, ,self-issuing, ,underissue, ,unissued, ,issueless, ,issuer, "
"jobber,jab",job
"tail,headline,railhead,read/write head,headline","head,headlike, ,multihead, ,headlike, "
"black beauty,blacken,blacking,in the red,Temple, Shirley","black,blackish, ,blackishly, ,blackishness, ,nonblack, ,unblacked, ,blackish, ,blackishly, ,blackly, ,blackness, "
clean,"house,subhouse, ,Edward Mandell ,houseless, "
"longa,length,longitude","long,longly, ,longness, ,Crawford Williamson ,Huey Pierce ,Russell B(illiu) "
provision,"provide,providable, ,overprovide, ,overprovided, ,overproviding.,preprovide, ,preprovided, ,preproviding.,unprovidable, ,provider, "
"answering service,servants,serving,service tree","service,unserviced, "
